r4,cd,r3,mini,r2,lab2,lab1,ai,eng,r1,
A,A,A,O,A+,O,O,A,A+,A+,8.73 
A,A+,A,O,A+,O,O,A,A+,A+,8.88 
A,A+,A+,O,A+,O,O,A+,O,O,9.27 
A,A,A,O,A+,O,O,A+,O,A+,8.88 
A,O,A+,O,O,O,O,O,O,O,9.65 
B+,B+,B+,O,A,O,O,A,A+,A+,8.23 
A,A+,A,O,A+,O,O,A+,A+,O,9.12 
O,O,A+,O,O,O,O,O,O,O,9.88 
A+,O,A+,O,O,O,O,O,O,O,9.77 
A+,O,A+,O,O,O,O,O,A+,O,9.73 
A+,O,A+,O,O,O,O,O,O,O,9.77 
A,A,A+,O,A+,O,O,A+,O,A+,9.00 
A+,O,A+,O,O,O,O,O,O,O,9.77 
A,A,A,O,A+,O,O,A,O,A+,8.77 
A,A,B+,O,A+,O,O,A,A+,A+,8.62 
B+,B+,B+,O,A,O,A+,B+,O,A,7.96 
A,A,A,O,A,O,O,A,O,A,8.54 
A+,O,A+,O,O,O,O,O,O,O,9.77 
A+,O,A+,O,O,O,O,O,A+,O,9.73 
B+,B+,B+,O,A,O,O,B+,O,A,8.04 
A,A,A,O,A+,O,O,A+,A+,A+,8.85 
A+,O,O,O,O,O,O,O,O,O,9.88 
A,A+,A,O,A+,O,O,A+,O,O,9.15 
A,A,A,O,A+,O,O,A,O,A,8.65 
A+,A+,A+,O,A+,O,O,A+,O,O,9.38 
A+,O,A+,O,O,O,O,O,O,O,9.77 
A+,O,O,O,O,O,O,O,O,O,9.88 
A+,A+,A+,O,O,O,O,A+,A+,O,9.46 
A+,A+,A+,O,A+,O,O,A+,A+,A+,9.23 
B+,B+,B+,O,A,O,O,B+,A+,A,8.00 
A+,A+,A+,O,A+,O,O,A+,A+,O,9.35 
A,B+,A,O,A+,O,O,A,A+,A,8.46 
A+,O,O,O,O,O,O,O,O,O,9.88 
A+,O,O,O,O,O,O,O,A+,O,9.85 
A+,A+,A+,O,A+,O,O,A+,A+,O,
A,B+,A,O,A+,O,O,A,A+,A+,
A,A+,A+,O,O,O,O,A+,O,O,
A+,A+,A+,O,A+,O,O,A+,O,O,
A,A,A,O,A,O,O,A,O,A+,
A+,O,A+,O,O,O,O,A+,O,O,
O,O,O,O,O,O,O,O,O,O,
A,B+,A,O,A,O,O,B+,O,A+,
A,A,A,O,A+,O,O,A+,O,A+,
A+,A+,A+,O,O,O,O,A+,O,O,
A+,O,A+,O,O,O,O,O,O,O,
A+,O,A+,O,O,O,O,O,O,O,
A+,A+,A+,O,A+,O,O,A+,O,O,
A,A,A,O,A+,O,O,A,O,A+,
A+,A+,A+,O,O,O,O,A+,O,O,
A,A,A,O,A+,O,O,A+,O,O,
A+,O,A+,O,O,O,O,A+,O,O,
A+,O,A+,O,A+,O,O,A+,O,O,
A+,O,A+,O,O,O,O,A+,O,O,
A,A,A,O,A+,O,O,A,O,A+,
